YB,DIAM,MASS,L_BOL,LM,TEMP,LRATIO,T_BOL,SURF_DENS
253,0.257272727,130.7982363,2365.126287,18.08224907,23.1,97.1,41.89,0.52
254,2.099447699,1366.139032,9905.831235,7.250968609,15.3,92.8,48.28,0.08
255,0.6695,161.36289,7422.69294,46,26.2,193.2,47.31,0.11
257,0.48875,818.23125,35466.05742,43.34478477,26.6,181.9,54.1,0.9
258,0.2272,159.69888,831.56336,5.207070707,15.7,64.1,55.56,0.83
259,0.3396,16.81869,319.55511,19,18.5,162.4,52.84,0.04
260,0.394759825,195.8411682,857.605593,4.379087405,15.9,51.7,42.36,0.33
262,0.221467818,50.60435864,429.161193,8.480715981,18.7,68.9,45.17,0.28
263,0.9408,848.97792,2619.1872,3.085106383,15,41.4,40.8,0.24
264,0.349048796,237.2975684,4471.940408,18.84528542,27.2,75.6,35.17,0.52
268,0.286098388,147.5531901,2327.845587,15.77631487,21.6,96.8,47.64,0.48
270,0.443766892,255.1791214,1113.794283,4.364754753,17.2,43,37.18,0.34
271,2.406884562,42472.09002,10229.36264,0.240849053,12.1,6,17.48,1.95
272,0.481830986,2795.603369,67697.86948,24.21583484,25,120.6,49.49,3.21
275,0.250442478,36.16064938,195.6908763,5.411708022,16.9,55.5,42.88,0.15
276,0.809135899,11229.98795,78646.21929,7.00323274,17.7,71.8,48.87,4.53
277,0.253367188,223.7547048,1795.562756,8.024692745,17.5,77.3,51.5,0.93
278,0.105820106,106.6424512,1295.85013,12.15135357,23.4,67.1,37.57,2.61
280,1.189855072,692.7798459,24159.69476,34.87355313,18.7,280.1,56.65,0.13
281,0.91,2317.6,58848.1,25.39182775,24.7,121.1,46.27,0.75
284,1.092155963,730.319821,802.7674564,1.099199876,15,14.8,23.24,0.16
286,0.49389313,231.1240764,1583.108449,6.849604222,17.4,65.9,48.31,0.26
291,0.703615786,2993.420601,20748.60915,6.93140454,17.2,70.4,58.79,1.61
296,0.615127768,3970.567066,45865.76719,11.55143999,20.9,80,42.95,2.76
298,0.523720365,201.7387801,259.8867112,1.28823378,15.4,16.3,23.86,0.2
299,0.996717674,477.0315207,6591.967448,13.8187251,19.9,98.5,47.6,0.13
300,0.079373368,10.33000089,76.67826149,7.422870756,18.7,61.3,41.33,0.44
301,0.499454545,914.4084298,5143.97114,5.625463385,18,51.1,41.96,0.99
302,0.637187789,829.3363547,12195.49668,14.70512732,17.9,132.9,49.83,0.54
303,0.254146538,37.75346112,570.205891,15.10340705,20.1,106,44.91,0.16
304,0.63300286,863.5113603,4981.243044,5.768590053,16.4,63.6,43.78,0.57
305,0.337910448,204.058351,2651.978012,12.99617486,19.4,99.1,56.98,0.48
306,0.18707483,38.61238373,278.0959323,7.202247191,16.5,77.4,45.31,0.29
307,0.806666667,813.3888889,5368.366667,6.6,15.5,90.1,48.79,0.32
308,0.157808219,146.0386564,13804.8036,94.52842105,31.8,298.6,53.71,1.52
