YB,LM,TEMP,LRATIO,T_BOL,SURF_DENS
3225,0.903225806,14.5,4.7,22.49,0.04
3228,13,21.6,100.5,43.73,0.01
3239,3,15.8,45.4,42.2,0.03
3244,0.698795181,12.7,6.6,33.38,0.04
3246,1.756054756,12.7,18.2,46.61,0.27
3249,248.25,23.4,1306.1,99.58,0.01
3261,41.08045977,21.9,107.3,52.56,0.14
3262,2.901185771,15,17.6,42.09,0.06
3263,112.9127831,22.8,632.2,66.18,0.96
3264,10.6097561,19.3,36.5,45.48,0.01
3266,1.284280936,14.4,8.4,30.48,0.07
3271,1.143939394,15.1,7.6,23.41,0.02
3273,12.55465414,19.4,97.5,56.53,1.54
3275,1.166666667,13.9,9.2,32.7,0.07
3277,10.62660944,18.4,89,46.27,0.08
3279,5.035087719,18.3,20.2,34.8,0.01
3281,6.374881066,16.3,34.2,45.86,0.44
3285,1.175824176,15.2,7.5,23.51,0.02
3288,7,17.6,66.8,42.66,0.01
3290,0.352941176,12.5,8.1,19.36,0.03
3296,1.465159636,13.2,27.6,41.4,0.31
3297,3.202891069,14.5,46.7,49.81,0.27
3298,13.35714286,18,46.8,54.45,0.36
3299,17.83333333,19.6,10.6,57.3,0.68
3300,16.20689655,18.6,10.8,54.69,0.54
3301,5.838561732,17.1,58.1,44.46,0.43
3302,24.4375,20.5,161.1,60.65,0.41
3303,65.42857143,24.8,300.4,62.09,0.37
3304,1.416828479,14.6,20.4,31.83,0.35
3305,35.17217339,22.3,200.4,54.18,0.28
3306,3.361606199,13.6,58.1,47.25,0.26
3307,5.072345391,16.7,53.5,42.55,0.08
3309,0.436363636,12.9,8.8,19.92,0.05
3312,2.816091954,13.4,50.4,46.37,0.09
3313,5.19047619,17.2,51.6,43.06,0.03
3314,37.79759519,21.6,228.5,60.68,0.11
3315,1.82358403,13.7,30.9,40.21,0.18
3316,4.774111804,14.4,71.8,48.39,0.33
3317,2.935483871,16,33.2,33.56,0.14
3318,84,26.9,28.1,54.25,0.03
3319,0.877750611,12.8,17.8,35.19,0.05
3320,0.333333333,12.2,7.4,18.91,0.06
3322,20.34615385,21.9,121.2,45.87,0.4
3323,12.22340426,17.8,8.1,53.29,0.23
3324,4.1875,17.7,40,36.24,0.02
3325,1.538461538,14.3,23.3,36.38,0.05
3326,1.503184713,13.8,25.3,40.17,0.27
3327,9.352941176,20,66.1,38.15,0.07
3328,6.882149047,19.5,51.3,37.94,0.05
3329,2.078810409,15,28,36.84,0.13
3330,0.499205087,13.2,9.5,20.38,0.04
3331,22.48753894,21,143.1,51.44,0.09
3332,5.066218362,14.9,70.2,50.83,0.32
3333,20.82414369,19.7,151,48.76,0.11
3334,3.407720376,16.1,39,40.17,0.36
3336,1.709889672,13.1,33.1,46.84,0.47
3337,35.47768595,22.1,206.6,49.38,0.11
3338,1.615384615,15.9,18.5,24.69,0.04
3339,4.601662404,16,53,42.46,0.03
3340,1.325145189,12.6,28.5,42.93,0.12
3341,9.014942435,16.4,99.8,50.1,0.4
3342,0.861859396,12.6,18.6,36.72,0.33
3343,14.40909091,20.1,6.9,52.37,0.25
3344,3.2875,15.2,2.9,47.79,0.17
3345,7.267820774,17.1,72,51.26,0.23
3346,21.56285244,21.5,133.8,48.23,0.71
3348,9.764877283,17.5,92,50,0.26
3349,25.13333333,17.7,15.3,86.26,0.1
3351,11.36448598,18.4,6.5,64.6,0.48
3352,31,20,14.9,52.15,0.21
3353,2.340085106,13.2,44.1,57.03,0.22
3354,1.004285464,12.7,21.1,59.42,0.29
3356,16.203125,21.1,7.1,48.74,1.42
3358,10.32553378,15.5,127.6,57.18,0.25
